date,estimated_available,rate_subtracting_remote,rate_without_remote_subtraction
2016-02-01,2401.0,0.4327363598500625,0.4327363598500625
2016-02-02,2378.0,0.36459209419680405,0.36459209419680405
2016-02-03,2365.0,0.43002114164904864,0.43002114164904864
2016-02-04,2277.0,0.4295125164690382,0.4295125164690382
2016-02-05,2142.0,0.43183940242763774,0.43183940242763774
2016-02-11,2075.0,0.5036144578313253,0.5036144578313253
2016-02-12,2056.0,0.44212062256809337,0.44212062256809337
2016-02-15,2310.0,0.5489177489177489,0.5489177489177489
2016-02-16,2293.0,0.4422154382904492,0.4422154382904492
2016-02-17,2273.0,0.4029916410030796,0.4029916410030796
2016-02-18,2270.0,0.4008810572687225,0.4008810572687225
2016-02-19,2204.0,0.34618874773139746,0.34618874773139746
2016-02-22,2304.0,0.5633680555555556,0.5633680555555556
2016-02-23,2307.0,0.38968357173818813,0.38968357173818813
2016-02-24,2315.0,0.44146868250539956,0.44146868250539956
2016-02-25,2284.0,0.40148861646234674,0.40148861646234674
2016-02-26,2179.0,0.35153740247820103,0.35153740247820103
2016-02-29,1838.0,0.47279651795429817,0.47279651795429817
2016-03-02,2315.0,0.4868250539956803,0.4868250539956803
2016-03-03,2339.0,0.4275331338178709,0.4275331338178709
2016-03-04,2294.0,0.36486486486486486,0.36486486486486486
2016-03-07,2379.0,0.5573770491803278,0.5573770491803278
2016-03-08,2365.0,0.4338266384778013,0.4338266384778013
2016-03-09,2356.0,0.382427843803056,0.382427843803056
2016-03-10,2324.0,0.3644578313253012,0.3644578313253012
2016-03-11,2241.0,0.3248549754573851,0.3248549754573851
2016-03-14,2380.0,0.5403361344537815,0.5403361344537815
2016-03-15,2355.0,0.40679405520169853,0.40679405520169853
2016-03-16,2361.0,0.4227022448115205,0.4227022448115205
2016-03-17,2330.0,0.35708154506437767,0.35708154506437767
2016-03-18,2229.0,0.3396141767608793,0.3396141767608793
2016-03-21,2354.0,0.43755310110450296,0.43755310110450296
2016-03-22,2375.0,0.38610526315789473,0.38610526315789473
2016-03-23,2346.0,0.41048593350383633,0.41048593350383633
2016-03-24,2320.0,0.3775862068965517,0.3775862068965517
2016-03-25,2251.0,0.38249666814749,0.38249666814749
2016-03-28,2350.0,0.5076595744680851,0.5076595744680851
2016-03-29,2327.0,0.38332617103566824,0.38332617103566824
2016-03-30,2346.0,0.4403239556692242,0.4403239556692242
2016-03-31,2340.0,0.33376068376068374,0.33376068376068374
2016-04-01,2286.0,0.2891513560804899,0.2891513560804899
2016-04-04,2360.0,0.5241525423728813,0.5241525423728813
2016-04-05,2370.0,0.35443037974683544,0.35443037974683544
2016-04-06,2357.0,0.37165888841747985,0.37165888841747985
2016-04-07,2338.0,0.36484174508126604,0.36484174508126604
2016-04-08,2273.0,0.3361196656401232,0.3361196656401232
2016-04-11,2358.0,0.5195080576759966,0.5195080576759966
2016-04-12,2342.0,0.3292058070025619,0.3292058070025619
2016-04-14,2285.0,0.42407002188183807,0.42407002188183807
2016-04-15,2231.0,0.2595248767368893,0.2595248767368893
2016-04-18,2337.0,0.4792468977321352,0.4792468977321352
2016-04-19,2360.0,0.4152542372881356,0.4152542372881356
