date,station,observed_hours,temp_mean,temp_max,temp_min,precipitation,humidity,rain
2016-02-01,192,23,,,,,,
2016-02-02,192,24,-2.3208333333333333,5.8,-8.8,,47.166666666666664,
2016-02-03,192,24,-1.9416666666666664,7.7,-9.1,,56.166666666666664,
2016-02-04,192,24,-0.5499999999999999,7.5,-7.7,,55.333333333333336,
2016-02-05,192,24,1.5083333333333335,9.6,-6.2,,42.708333333333336,
2016-02-06,192,24,-0.31666666666666665,5.7,-6.2,,49.166666666666664,
2016-02-07,192,24,-1.6791666666666665,7.0,-8.8,,49.333333333333336,
2016-02-08,192,24,0.8416666666666668,8.3,-8.5,,50.18333333333334,
2016-02-09,192,24,4.983333333333333,9.1,-0.5,,28.0,
2016-02-10,192,24,1.7208333333333332,11.4,-5.9,,47.125,
2016-02-11,192,24,5.191666666666667,14.2,-3.0,,56.875,
2016-02-12,192,24,8.754166666666665,14.2,5.8,,86.75,1.0
2016-02-13,192,24,11.504166666666668,15.1,9.4,,91.08333333333333,1.0
2016-02-14,192,24,5.416666666666667,14.6,-1.1,,54.875,1.0
2016-02-15,192,24,-1.2375,2.1,-4.0,,36.541666666666664,
2016-02-16,192,24,-0.23333333333333328,4.9,-6.1,,59.75,
2016-02-17,192,24,1.6791666666666665,7.5,-2.4,,50.25,
2016-02-18,192,24,1.8958333333333333,9.7,-5.8,,61.541666666666664,
2016-02-19,192,24,4.754166666666666,12.8,-2.6,,59.208333333333336,
2016-02-20,192,24,6.150000000000001,12.6,1.9,,46.541666666666664,
2016-02-21,192,24,2.470833333333333,8.2,-3.4,,34.0,
2016-02-22,192,24,2.970833333333333,6.7,-1.7,,46.458333333333336,
2016-02-23,192,24,5.529166666666666,11.5,0.5,,42.0,
2016-02-24,192,24,1.5875000000000001,7.0,-3.4,,29.375,
2016-02-25,192,24,0.9333333333333332,6.8,-4.2,,32.333333333333336,
2016-02-26,192,24,1.5291666666666668,7.7,-5.8,,59.541666666666664,
2016-02-27,192,24,7.483333333333333,14.1,0.9,,52.666666666666664,1.0
2016-02-28,192,24,5.9875,13.2,-0.5,,69.20833333333333,1.0
2016-02-29,192,24,0.14999999999999994,3.5,-4.3,,45.5,
2016-03-01,192,24,-1.0499999999999998,6.3,-7.6,,42.25,
2016-03-02,192,24,2.7916666666666665,11.3,-6.6,,50.583333333333336,
2016-03-03,192,24,6.345833333333334,15.6,-3.3,,60.791666666666664,
2016-03-04,192,24,8.083333333333334,9.7,6.7,,87.08333333333333,1.0
2016-03-05,192,24,11.654166666666669,15.6,8.6,,88.0,1.0
2016-03-06,192,24,14.295833333333334,19.2,9.2,,81.29166666666667,1.0
2016-03-07,192,24,10.954166666666666,16.9,7.1,,68.83333333333333,
2016-03-08,192,24,8.354166666666666,11.0,4.2,,63.916666666666664,1.0
2016-03-09,192,24,5.445833333333333,12.3,1.3,,57.5,1.0
2016-03-10,192,24,3.329166666666667,8.0,-0.9,,35.0,
2016-03-11,192,24,2.025,7.9,-3.3,,32.791666666666664,
2016-03-12,192,24,2.3541666666666665,9.9,-5.4,,44.041666666666664,
2016-03-13,192,24,4.754166666666666,8.7,1.1,,50.083333333333336,
2016-03-14,192,24,5.4125000000000005,12.7,-1.4,,51.875,
2016-03-15,192,24,5.3374999999999995,14.1,-3.2,,49.958333333333336,
2016-03-16,192,24,8.608333333333334,16.3,2.8,,51.125,
